GEOID,CITY,STATE_ABBR,CBSA_CODE,CBSA_TITLE,S2201_C04_001E,S2201_C04_001M,REL_MOE_PCT,NAME
1973335,Sioux City,IA,43580,"Sioux City, IA-NE-SD",13.2,3.3,25.0,"Sioux City city, Iowa"
1982425,Waterloo,IA,47940,"Waterloo-Cedar Falls, IA",13.4,3.2,23.88059701492537,"Waterloo city, Iowa"
1983910,West Des Moines,IA,19780,"Des Moines-West Des Moines, IA",6.6,2.8,42.42424242424242,"West Des Moines city, Iowa"
1608830,Boise City,ID,14260,"Boise City, ID",7.7,1.3,16.883116883116884,"Boise City city, Idaho"
1639700,Idaho Falls,ID,26820,"Idaho Falls, ID",7.9,2.7,34.177215189873415,"Idaho Falls city, Idaho"
1706613,Bloomington,IL,14010,"Bloomington, IL",14.1,3.4,24.113475177304963,"Bloomington city, Illinois"
1707133,Bolingbrook,IL,16980,"Chicago-Naperville-Elgin, IL-IN",12.7,3.7,29.13385826771654,"Bolingbrook village, Illinois"
1712385,Champaign,IL,16580,"Champaign-Urbana, IL",8.4,3.3,39.28571428571428,"Champaign city, Illinois"
1714000,Chicago,IL,16980,"Chicago-Naperville-Elgin, IL-IN",17.5,0.8,4.571428571428571,"Chicago city, Illinois"
1718823,Decatur,IL,19500,"Decatur, IL",28.4,4.7,16.549295774647888,"Decatur city, Illinois"
1723074,Elgin,IL,16980,"Chicago-Naperville-Elgin, IL-IN",11.0,3.1,28.18181818181818,"Elgin city, Illinois"
1724582,Evanston,IL,16980,"Chicago-Naperville-Elgin, IL-IN",5.1,2.5,49.01960784313726,"Evanston city, Illinois"
1751622,Naperville,IL,16980,"Chicago-Naperville-Elgin, IL-IN",3.8,1.5,39.473684210526315,"Naperville city, Illinois"
1759000,Peoria,IL,37900,"Peoria, IL",20.0,3.4,17.0,"Peoria city, Illinois"
1765000,Rockford,IL,40420,"Rockford, IL",27.0,3.1,11.481481481481481,"Rockford city, Illinois"
